theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63,theta_64,theta_65,theta_66,theta_67,theta_68,theta_69,theta_70,theta_71,theta_72,theta_73,theta_74,theta_75,theta_76,theta_77,theta_78,theta_79,theta_80,theta_81,theta_82,theta_83,theta_84,theta_85,theta_86,theta_87,theta_88,theta_89,theta_90,theta_91,theta_92,theta_93,theta_94,theta_95,theta_96,theta_97,theta_98,theta_99,theta_100,theta_101,theta_102,theta_103,theta_104,theta_105,theta_106,theta_107,theta_108,theta_109,theta_110,theta_111,theta_112,theta_113,theta_114,theta_115,theta_116,theta_117,theta_118,theta_119,theta_120
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793
4.558246733944565e-30,0.0,1.8672866074179448e-29,0.0,1.2734761500558916e-29,0.0,4.557784446754509e-30,1.712311491837551e-30,0.0,0.0,5.552447763383327e-30,0.0,0.0,3.60748211669535e-30,0.0,7.011090313210354e-30,0.0,8.460494857883135e-30,0.0,1.0809635253262011e-30,0.0,0.0,5.23771766836734e-30,0.0,0.0,9.674298110222588e-30,0.0,5.6652310430190544e-30,0.0,2.465882650569516e-30,0.0,2.7152223753103228e-30,0.0,1.0793015693039155e-29,0.0,0.0,4.687812170637852e-30,0.0,9.710668245797452e-30,0.0,8.382907649086207e-30,0.0,0.0,1.55050650957689e-29,0.0,1.3345673335511312e-29,0.0,0.0,1.0682843115830226e-29,0.0,1.0572778947612412e-29,0.0,2.0933752387618047e-29,1.0483048999518276e-25,7.918698822671936e-23,1.7677274476770696e-20,7.129099779583431e-19,0.0,0.0,0.0,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793
6.126874122716188e-23,0.0,2.3938329434126823e-22,0.0,2.3705086640207824e-22,0.0,1.2576758917227622e-22,0.0,4.491871055952942e-23,0.0,4.2880693343384665e-23,0.0,0.0,5.628273779992758e-23,0.0,6.690128917578661e-23,0.0,4.793194102484699e-23,0.0,2.4272369397254036e-23,0.0,9.579084733871568e-24,5.824664210500458e-25,7.855852174148591e-24,0.0,3.567129321229603e-23,0.0,1.3249553399012148e-23,0.0,4.7034591605435625e-24,0.0,8.561634128262398e-24,0.0,2.0375869725562622e-23,0.0,4.0932869572720405e-24,0.0,0.0,1.2896565195909285e-23,0.0,2.36754286631486e-24,9.129812161624318e-24,0.0,2.0658331133797313e-23,0.0,1.8882405682500407e-23,0.0,0.0,1.2754234211766089e-23,0.0,0.0,0.0,-1.5987211554602254e-14,-1.227462576025573e-12,3.141495693738724e-12,5.863717652668914e-12,-1.8071766305638448e-11,-1.0103917702508625e-11,1.0520597997526717e-10,-1.7903900584315124e-11,-3.1415926532558607,3.141592653119151,-3.1415926533087135,3.141592653500733,-3.1415926535782153,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793
2.0401897703036906e-22,0.0,7.950718040619861e-22,0.0,7.815596686542366e-22,0.0,4.092207467829634e-22,0.0,1.4426534457241485e-22,0.0,1.4186215581336294e-22,0.0,0.0,1.8369621518763151e-22,0.0,2.2365840470694874e-22,0.0,1.627181107781313e-22,0.0,8.028635762237701e-23,0.0,2.8023180275461707e-23,4.589915117948689e-24,2.5327853315406196e-23,0.0,1.2168624120828542e-22,0.0,4.93173166960249e-23,0.0,1.8300151161749924e-23,0.0,3.137992687248042e-23,0.0,7.088975629345877e-23,0.0,1.1412275655104743e-23,0.0,0.0,4.846707810694197e-23,0.0,1.2444978515229564e-23,2.770980628729009e-23,0.0,7.329484617738334e-23,0.0,6.671807050129642e-23,0.0,0.0,4.49151068052962e-23,0.0,0.0,0.0,-5.062616992290714e-14,-3.907096868260851e-12,1.0264538162794324e-11,1.707165142580307e-11,-5.282885240376345e-11,-4.1098680014783895e-11,3.463861959282723e-10,-6.420552978170235e-11,-3.1415926525258984,3.141592652088187,-3.141592652693298,3.1415926533057106,-3.141592653552863,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793
3.3107711891160675e-22,0.0,1.2855584748351606e-21,0.0,1.2505686032420874e-21,0.0,6.423090032380145e-22,0.0,2.2204279917317943e-22,0.0,2.281011951674498e-22,0.0,0.0,2.896363625710311e-22,0.0,3.6495703732179665e-22,0.0,2.7112408363501964e-22,0.0,1.2906120215826946e-22,0.0,3.666611906671825e-23,1.34705127166849e-23,3.9214098508216504e-23,0.0,2.0406791983507265e-22,0.0,9.185010445586705e-23,0.0,3.569372113050484e-23,0.0,5.744935480077119e-23,0.0,1.2195009549176849e-22,0.0,1.3474086352437078e-23,8.888794598909208e-24,0.0,9.120704494845412e-23,0.0,3.0571153970403945e-23,3.8842993158209343e-23,0.0,1.2917824638512492e-22,0.0,1.1700750958397026e-22,0.0,0.0,7.844741592368498e-23,0.0,0.0,0.0,-7.72715225139109e-14,-5.929479129918036e-12,1.6208392992271042e-11,2.2127482796189263e-11,-6.900524596176183e-11,-8.36575253515548e-11,5.531559065796979e-10,-1.1449774461880224e-10,-3.141592651972202,3.1415926513016488,-3.141592652224471,3.1415926531571063,-3.1415926535335497,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793
3.760397049938948e-22,0.0,1.451838462325943e-21,0.0,1.3888407789724107e-21,0.0,6.907929930989628e-22,0.0,2.3072456658095067e-22,0.0,2.5531595105435977e-22,0.0,0.0,3.138967310197205e-22,0.0,4.180998523620663e-22,0.0,3.205285998302827e-22,0.0,1.444023001425233e-22,0.0,2.5960437238305472e-23,2.6011802855748759e-23,4.11868037994619e-23,0.0,2.4351701336388782e-22,0.0,1.2537073371972228e-22,0.0,5.1214008668337946e-23,0.0,7.687205539510898e-23,0.0,1.5081704866114437e-22,0.0,6.314584345385379e-24,3.0503647720161337e-23,0.0,1.2594523946513646e-22,0.0,5.320814932182748e-23,3.320510169696936e-23,0.0,1.6493550172330392e-22,0.0,1.4846875476989123e-22,0.0,0.0,9.90048844569431e-23,0.0,0.0,0.0,-7.904787935331115e-14,-6.0031979387531464e-12,1.7605164990517588e-11,1.521384734360594e-11,-4.855937874026495e-11,-1.2526779613608596e-10,6.123563268723895e-10,-1.4809309334395948e-10,-3.141592651945306,3.141592651254268,-3.141592652197727,3.141592653148607,-3.1415926535324625,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793
3.0445545745330447e-22,0.0,1.1620365975704793e-21,0.0,1.0734680091401007e-21,0.0,4.967130951273914e-22,0.0,1.521447620112482e-22,0.0,2.0061727549964444e-22,0.0,0.0,2.29770750793132e-22,0.0,3.442933230702469e-22,0.0,2.7983461103250467e-22,0.0,1.1337186519185404e-22,0.0,0.0,3.83402586031715e-23,2.794753590934338e-23,0.0,2.16087216533321e-22,0.0,1.355107377132188e-22,0.0,5.86961602519632e-23,0.0,8.101035247323005e-23,0.0,1.4198222047228e-22,0.0,0.0,5.766167721465326e-23,0.0,1.3806817409118862e-22,0.0,7.296685916064263e-23,9.232578987016084e-24,0.0,1.6293056030912529e-22,0.0,1.4538473513885545e-22,0.0,0.0,9.616546193380445e-23,0.0,0.0,0.0,-4.884981308350689e-14,-3.682387728076719e-12,1.2941269282419536e-11,-3.683275906496419e-12,8.942181553449784e-12,-1.503943636294025e-10,4.701017411100834e-10,-1.4834711237199372e-10,-3.141592652567329,3.141592652121394,-3.14159265271753,3.141592653313435,-3.1415926535539347,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793
1.1382528251895787e-22,0.0,4.114073869759167e-22,0.0,3.138708115281612e-22,0.0,7.838943228493177e-23,0.0,0.0,0.0,6.450873290569271e-23,0.0,1.071226552213678e-23,4.405173134053505e-23,0.0,1.3864773058957987e-22,0.0,1.3946928034408248e-22,0.0,3.6288927402100716e-23,1.3427040365576326e-23,0.0,4.3921282456525483e-23,1.2272122313805086e-24,0.0,1.1318523454932217e-22,0.0,1.0901036584642918e-22,0.0,5.148062923327882e-23,0.0,6.24867561886327e-23,0.0,8.716865892590998e-23,0.0,0.0,7.809919247693291e-23,0.0,1.1352009995031909e-22,0.0,7.860699257914494e-23,0.0,0.0,1.112643484107169e-22,0.0,9.760327701108574e-23,0.0,0.0,6.343132452172615e-23,0.0,3.032861501806039e-20,2.928346171104244e-17,7.383710122747847e-15,6.378157091078505e-13,2.5574313093993105e-12,-2.8776980798284058e-11,8.632519062883186e-11,-1.404742988597718e-10,1.3177950295740864e-10,-1.0265566174894047e-10,3.141592653447612,-3.141592653420596,3.1415926534822702,-3.1415926535552376,3.141592653585143,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793
0.0,4.66767191179445e-22,0.0,7.68072546458617e-22,0.0,6.446526798986098e-22,0.0,2.8554207721362847e-22,0.0,1.7469022873873811e-22,0.0,2.0208875226622382e-23,1.101003077472349e-22,0.0,2.179807240911795e-22,0.0,1.196181511117625e-22,0.0,6.913949841201906e-23,0.0,9.128221591197983e-23,0.0,3.3559206342924235e-23,0.0,6.677492397963696e-23,0.0,8.29813613370588e-24,3.371858371387065e-23,0.0,2.2413175839367204e-23,0.0,1.518396303057715e-23,0.0,0.0,1.4081478316711237e-23,0.0,7.288578157881503e-23,0.0,3.8803006855745215e-23,0.0,5.503707317078289e-23,0.0,4.80374597183501e-23,3.7747704471300805e-24,0.0,5.371039472315512e-25,2.876677997201434e-23,0.0,0.0,7.395051914528799e-23,3.3543493396400004e-19,3.032092072453678e-16,7.387826368368408e-14,5.717844116944018e-12,-1.13509202037676e-11,-4.8474113611973735e-11,1.4880977235158257e-10,-7.392131351480202e-11,-3.3795011233905825e-10,-2.461142400989047e-12,3.1415926520750586,-3.141592651475949,3.1415926523200954,-3.1415926531859464,3.1415926535369763,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793
0.0,1.3142930188801676e-21,0.0,2.0115287177313597e-21,0.0,1.4648395354666885e-21,0.0,5.305277674335745e-22,0.0,3.7331198221148035e-22,0.0,1.1732603860558854e-22,1.8544390866223516e-22,0.0,5.436822153875402e-22,0.0,4.527729286637003e-22,0.0,2.662313087659717e-22,0.0,1.4718128293916499e-22,0.0,0.0,0.0,2.230742850281001e-22,0.0,2.0088922060265514e-22,0.0,5.1243551386506824e-23,0.0,3.425957494604942e-23,0.0,1.3157449581189977e-22,0.0,8.191706226083282e-23,0.0,1.6424311269381447e-23,7.181016469358428e-23,0.0,4.7716041040684384e-23,0.0,0.0,1.5854275054889678e-22,0.0,1.496479927716627e-22,0.0,9.720547507043941e-23,1.2249745705630656e-23,0.0,2.210256890902279e-22,5.666331860236588e-19,5.093811901331819e-16,1.2373298532459012e-13,9.475195304060067e-12,-2.4735768988648488e-11,-4.53805881761582e-11,1.4400871701228614e-10,7.387534497497153e-11,-8.151532782108006e-10,1.567553276367164e-10,3.1415926510577252,-3.141592650007055,3.1415926514441535,-3.14159265290645,3.1415926535003855,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793
