theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63,theta_64,theta_65,theta_66,theta_67,theta_68,theta_69,theta_70,theta_71,theta_72,theta_73,theta_74,theta_75,theta_76,theta_77,theta_78,theta_79,theta_80,theta_81,theta_82,theta_83,theta_84,theta_85,theta_86,theta_87,theta_88,theta_89,theta_90,theta_91,theta_92,theta_93,theta_94,theta_95,theta_96,theta_97,theta_98,theta_99,theta_100,theta_101,theta_102,theta_103,theta_104,theta_105,theta_106,theta_107,theta_108,theta_109,theta_110,theta_111,theta_112,theta_113,theta_114,theta_115,theta_116,theta_117,theta_118,theta_119,theta_120
-2.7674113382482277,-1.2083976736969868,0.004241883422948253,-2.390480574839696,3.096791289112246,-2.4557106244384,1.377809178786804,1.0439988261407147,0.7185022231418084,-2.6319032336276043,0.7428832679767732,0.4466878713167859,1.4546065419252343,1.6302221363394462,0.6903357065145382,0.6966087802600753,-0.6700238088839088,-1.6730406885653881,-2.0542350563355,1.313091239157701,-1.0568220235552532,-2.332521796732833,1.9364439990356592,1.6233005937759315,-1.8507702889781052,-0.6027170843196252,1.3294018578762832,2.4725415610904724,-1.324904757430149,0.3007455636345742,1.3184609466109862,1.022484544188909,-2.717474067367999,2.2592946892638466,-1.8261322812771272,-1.041202508106343,0.5276739188289927,-2.5430946440503823,-1.9393878133907885,0.8429033700171633,-1.0373303529450544,2.773907150893389,-2.0354661431726395,-1.7561995369335976,1.389510150800681,2.3603984308695933,0.9961156894608608,0.4212439899897811,2.786569002405809,2.347816622854267,2.3359871402330312,-2.2836910702369404,-2.7375435838392916,2.2531340369475297,-0.8098676055493401,2.991706756610437,0.06238526512952116,2.174206206193803,1.5851547157518893,0.5479271688517896,1.6204088154788883,1.9167598600119438,1.3315805754358563,-2.4013216629469385,2.4206784298005553,2.278493363101647,0.3853008888875263,-1.614556204827835,0.6705987472580615,2.1362367840782426,-1.8169946054758261,-2.415791717648404,-1.879674159605318,-0.6088850903053427,-0.8889563213129952,1.970797226381463,-2.9982407806599163,0.6066745369831474,2.2231173060007006,0.48384571706250096,0.6265166576672315,-0.8420386248746832,-2.3847256806634753,0.8806907456247465,1.8170954261420762,-1.1503962895780635,1.403812573230894,1.1205976089964569,0.5417669100959336,-1.5162516783023028,0.3637253563302016,-1.3695717588721443,-1.0725380802383286,2.0152408762461693,-1.9050625503405492,0.4425416766420199,-2.413859235847129,2.3824834527773042,1.6517603214803027,-1.27582366648676,0.9381541034913212,1.0321455443985508,1.5646603986801508,0.7289898928673101,-2.414199234585306,-1.468381088951956,-2.1706651158214214,-1.9245571073411352,1.925942879843318,2.5988470844519656,2.4983781046331472,-2.225226265538117,1.2532943766958458,1.667723165868699,-0.6469949781808682,1.0696679072240756,1.0501579737331173,0.6535740682603801,0.7622399645756445,-3.0027748046609855
-2.749081035978754,-1.162683039101437,0.004076289950068516,-2.3904450781572337,3.0967752197326464,-2.455706696565903,1.3778061794906047,1.0439991858616944,0.7185025677523705,-2.6319036080606453,0.742882985518031,0.44668812461452306,1.454606303765831,1.6302220982485052,0.6903357552315813,0.6966087787801861,-0.6700237975439034,-1.6730406875430859,-2.0542350561006284,1.3130912391843614,-1.0568220236951928,-2.332521796664625,1.9364439990458628,1.623300593775253,-1.8507702889773041,-0.6027170843205676,1.3294018578761289,2.4725415610905057,-1.32490475743014,0.3007455636345717,1.3184609466109865,1.0224845441889092,-2.717474067367999,2.2592946892638466,-1.8261322812771192,-1.041202508106351,0.5276739188289927,-2.5430946440503823,-1.9393878133907885,0.8429033700171636,-1.0373303529450544,2.773907150893389,-2.0354661431726395,-1.7561995369335976,1.3895101508006793,2.3603984308695947,0.9961156894608607,0.4212439899897815,2.786569002405809,2.3478166228542667,2.3359871402330312,-2.283691070236941,-2.7375435838392903,2.2531340369475306,-0.809867605549341,2.991706756610437,0.06238526512952154,2.1742062061938037,1.5851547157518884,0.5479271688517904,1.620408815478889,1.916759860011945,1.3315805754358558,-2.4013216629469354,2.420678429800557,2.2784933631016444,0.3853008888875264,-1.614556204827835,0.6705987472580605,2.1362367840782426,-1.8169946054758261,-2.415791717648404,-1.879674159605318,-0.6088850903053427,-0.8889563213129952,1.970797226381465,-2.9982407806599163,0.6066745369831477,2.2231173060007006,0.48384571706250096,0.6265166576672315,-0.8420386248746832,-2.3847256806634753,0.8806907456247465,1.8170954261420744,-1.1503962895780635,1.403812573230893,1.1205976089964567,0.5417669100959345,-1.5162516783023028,0.3637253563302018,-1.3695717588721443,-1.0725380802383286,2.0152408762461693,-1.9050625503405492,0.4425416766420199,-2.413859235847129,2.3824834527773042,1.6517603214803027,-1.27582366648676,0.9381541034913212,1.0321455443985508,1.5646603986801508,0.7289898928673103,-2.414199234585306,-1.468381088951956,-2.1706651158214214,-1.9245571073411352,1.9259428798433182,2.5988470844519656,2.4983781046331472,-2.225226265538117,1.2532943766958462,1.667723165868699,-0.6469949781808682,1.0696679072240756,1.0501579737331173,0.6535740682603801,0.7622399645756445,-3.0027748046609855
-2.686738607946294,-1.0263984710427145,-0.0010759307887617808,-2.389164797885421,3.096197248464841,-2.4555655120821354,1.3776984224022684,1.044012109330374,0.7185149504180921,-2.6319170627377595,0.7428728360058077,0.4466972262743025,1.454597746018646,1.6302207295068778,0.6903375057968175,0.6966087256030082,-0.6700233900591313,-1.6730406508082218,-2.0542350476608977,1.3130912401424053,-1.0568220287237633,-2.3325217942138403,1.9364439994124292,1.623300593750893,-1.8507702889485715,-0.6027170843544596,1.3294018578705704,2.472541561091531,-1.3249047574299881,0.3007455636344689,1.318460946610987,1.0224845441889119,-2.717474067367998,2.259294689263847,-1.8261322812771246,-1.0412025081063465,0.5276739188289941,-2.5430946440503828,-1.9393878133907902,0.842903370017165,-1.037330352945058,2.773907150893389,-2.0354661431726395,-1.7561995369336003,1.3895101508006775,2.3603984308695947,0.9961156894608598,0.4212439899897829,2.7865690024058076,2.3478166228542703,2.3359871402330277,-2.283691070236941,-2.7375435838392894,2.253134036947531,-0.8098676055493366,2.9917067566104394,0.062385265129522215,2.1742062061938054,1.5851547157518873,0.547927168851792,1.6204088154788852,1.9167598600119478,1.331580575435853,-2.4013216629469407,2.4206784298005575,2.2784933631016453,0.3853008888875264,-1.614556204827835,0.6705987472580615,2.136236784078243,-1.8169946054758253,-2.415791717648404,-1.879674159605318,-0.6088850903053427,-0.8889563213129952,1.9707972263814635,-2.9982407806599154,0.6066745369831481,2.2231173060007006,0.4838457170625015,0.6265166576672312,-0.8420386248746832,-2.3847256806634753,0.8806907456247473,1.817095426142075,-1.1503962895780635,1.4038125732308948,1.120597608996456,0.5417669100959334,-1.5162516783023028,0.3637253563302022,-1.3695717588721443,-1.0725380802383286,2.0152408762461693,-1.9050625503405492,0.44254167664202015,-2.413859235847129,2.3824834527773042,1.6517603214803027,-1.27582366648676,0.9381541034913213,1.032145544398551,1.5646603986801508,0.7289898928673096,-2.414199234585306,-1.468381088951956,-2.1706651158214214,-1.9245571073411352,1.9259428798433178,2.5988470844519656,2.4983781046331472,-2.225226265538117,1.2532943766958444,1.667723165868699,-0.6469949781808682,1.0696679072240756,1.0501579737331173,0.6535740682603801,0.7622399645756445,-3.0027748046609855
-2.558233731625146,-0.803143280009821,-0.022811361162138333,-2.3817849212217554,3.092918748786417,-2.454768026757115,1.3770916190646156,1.0440848693552605,0.7185847416846548,-2.6319929115789167,0.7428156273033262,0.44674852796505765,1.4545495083302356,1.6302130133505772,0.6903473740903874,0.6966084258388888,-0.6700210929510844,-1.6730404437217583,-2.054235000083427,1.313091245543205,-1.0568220570714457,-2.332521780397962,1.9364440014788833,1.6233005936135725,-1.850770288786614,-0.602717084545513,1.3294018578392375,2.4725415610973283,-1.3249047574291053,0.3007455636338821,1.3184609466109989,1.0224845441889103,-2.717474067367996,2.259294689263845,-1.826132281277121,-1.0412025081063474,0.527673918828996,-2.543094644050373,-1.939387813390793,0.8429033700171659,-1.0373303529450535,2.773907150893389,-2.0354661431726395,-1.756199536933603,1.3895101508006753,2.3603984308695956,0.9961156894608582,0.4212439899897842,2.7865690024058107,2.3478166228542725,2.335987140233024,-2.2836910702369377,-2.7375435838392943,2.2531340369475332,-0.8098676055493321,2.991706756610442,0.0623852651295238,2.1742062061938046,1.5851547157518855,0.5479271688517957,1.6204088154788825,1.9167598600119475,1.3315805754358512,-2.401321662946943,2.420678429800556,2.278493363101643,0.3853008888875261,-1.614556204827835,0.6705987472580613,2.136236784078243,-1.816994605475828,-2.415791717648403,-1.879674159605318,-0.6088850903053427,-0.8889563213129952,1.9707972263814606,-2.9982407806599145,0.6066745369831485,2.2231173060007006,0.48384571706250223,0.6265166576672286,-0.8420386248746832,-2.3847256806634762,0.8806907456247457,1.817095426142071,-1.1503962895780635,1.4038125732308955,1.1205976089964578,0.5417669100959328,-1.5162516783023028,0.36372535633020314,-1.3695717588721443,-1.072538080238349,2.0152408762461693,-1.9050625503405492,0.44254167664202043,-2.413859235847129,2.3824834527773042,1.6517603214803027,-1.27582366648676,0.9381541034913231,1.0321455443985506,1.5646603986801508,0.7289898928673093,-2.414199234585306,-1.468381088951956,-2.1706651158214214,-1.9245571073411352,1.9259428798433171,2.5988470844519656,2.4983781046331472,-2.225226265538117,1.2532943766958449,1.667723165868699,-0.6469949781808682,1.0696679072240756,1.0501579737331173,0.6535740682603802,0.7622399645756445,-3.0027748046609855
-2.3286246698729314,-0.5091967797106056,-0.07038823429338859,-2.357094291817834,3.0824719822054067,-2.4522652472594513,1.3752069093420478,1.0443107138728611,0.7188021631316397,-2.6322293661763387,0.7426373629055021,0.44690837942298994,1.4543991856981893,1.6301889576571822,0.690378135481712,0.696607491481496,-0.6700139320637755,-1.6730397981442522,-2.054234851764556,1.3130912623797255,-1.0568221454429443,-2.3325217373281086,1.936444007920879,1.623300593185493,-1.8507702882816863,-0.6027170851411467,1.3294018577415427,2.472541561115377,-1.3249047574263741,0.30074556363205124,1.3184609466110486,1.0224845441889172,-2.717474067367989,2.2592946892638546,-1.8261322812771166,-1.0412025081063572,0.5276739188289956,-2.5430946440503917,-1.9393878133907805,0.8429033700171672,-1.0373303529450535,2.7739071508933946,-2.0354661431726333,-1.7561995369336127,1.389510150800673,2.3603984308696004,0.9961156894608567,0.42124398998978757,2.786569002405811,2.347816622854275,2.335987140233015,-2.2836910702369457,-2.7375435838392943,2.2531340369475372,-0.8098676055493259,2.9917067566104465,0.062385265129525996,2.1742062061938126,1.5851547157518824,0.5479271688517978,1.6204088154788783,1.9167598600119586,1.3315805754358438,-2.401321662946945,2.4206784298005615,2.278493363101641,0.38530088888752745,-1.614556204827835,0.6705987472580608,2.136236784078242,-1.8169946054758306,-2.4157917176484016,-1.879674159605318,-0.6088850903053427,-0.8889563213129943,1.9707972263814624,-2.998240780659912,0.6066745369831519,2.223117306000699,0.48384571706250323,0.6265166576672279,-0.8420386248746832,-2.3847256806634767,0.8806907456247458,1.8170954261420735,-1.1503962895780635,1.403812573230897,1.1205976089964542,0.5417669100959327,-1.5162516783023028,0.36372535633020375,-1.3695717588721443,-1.0725380802383304,2.0152408762461693,-1.9050625503405492,0.4425416766420209,-2.413859235847123,2.3824834527773042,1.6517603214803027,-1.27582366648676,0.9381541034913216,1.0321455443985519,1.5646603986801508,0.7289898928673101,-2.414199234585306,-1.468381088951956,-2.1706651158214214,-1.9245571073411352,1.9259428798433171,2.5988470844519656,2.4983781046331472,-2.225226265538117,1.2532943766958442,1.667723165868699,-0.6469949781808682,1.0696679072240756,1.0501579737331173,0.6535740682603802,0.7622399645756445,-3.0027748046609855
-1.9688646691275853,-0.20993924912766637,-0.13508126985620983,-2.304781705292206,3.06229141203184,-2.447584149132709,1.3717430791127028,1.0447255378307703,0.7192039423963407,-2.632666818282759,0.7423078097791271,0.4472038888957917,1.4541212387885183,1.6301444443480142,0.69043504549817,0.6966057630344141,-0.6700006828212812,-1.6730386036167424,-2.0542345773282165,1.3130912935325254,-1.0568223089578233,-2.3325216576354157,1.9364440198405948,1.6233005923934019,-1.850770287347423,-0.6027170862432447,1.3294018575607878,2.47254156114879,-1.324904757421299,0.3007455636286632,1.3184609466111343,1.0224845441889172,-2.7174740673679776,2.2592946892638732,-1.8261322812771157,-1.0412025081063527,0.5276739188289924,-2.5430946440503917,-1.9393878133907743,0.8429033700171711,-1.0373303529450535,2.77390715089339,-2.0354661431726324,-1.75619953693361,1.3895101508006729,2.360398430869598,0.9961156894608526,0.4212439899897944,2.786569002405815,2.347816622854276,2.3359871402330064,-2.2836910702369413,-2.737543583839291,2.2531340369475443,-0.809867605549317,2.9917067566104514,0.06238526512952799,2.174206206193815,1.5851547157518837,0.5479271688518008,1.620408815478872,1.9167598600119684,1.3315805754358385,-2.4013216629469483,2.4206784298005624,2.278493363101637,0.3853008888875286,-1.614556204827835,0.6705987472580587,2.13623678407824,-1.816994605475827,-2.415791717648396,-1.8796741596053286,-0.6088850903053418,-0.8889563213129925,1.9707972263814637,-2.9982407806598994,0.6066745369831538,2.2231173060006997,0.4838457170625038,0.6265166576672285,-0.8420386248746832,-2.384725680663488,0.8806907456247463,1.817095426142073,-1.1503962895780635,1.403812573230898,1.1205976089964513,0.5417669100959324,-1.5162516783023028,0.36372535633020475,-1.3695717588721443,-1.0725380802383322,2.0152408762461693,-1.9050625503405492,0.44254167664202165,-2.413859235847132,2.3824834527773042,1.6517603214803027,-1.27582366648676,0.9381541034913228,1.0321455443985477,1.5646603986801508,0.7289898928673082,-2.414199234585306,-1.468381088951956,-2.1706651158214214,-1.9245571073411352,1.9259428798433171,2.5988470844519656,2.4983781046331472,-2.225226265538117,1.2532943766958442,1.6677231658687008,-0.6469949781808682,1.069667907224076,1.050157973733117,0.6535740682603802,0.7622399645756445,-3.0027748046609855
-1.4879726639635429,-0.04384020947605105,-0.20135142438629483,-2.236039631081413,3.0386470096024367,-2.4422869324974608,1.3678507333103511,1.0451925471829668,0.7196573366077879,-2.6331607070431886,0.7419358350058184,0.44753751249498547,1.453807435590378,1.630094154793795,0.6904993343358443,0.6966038103380944,-0.669985714296371,-1.6730372539874523,-2.0542342672582556,1.3130913287302752,-1.0568224937039776,-2.332521567595163,1.9364440333080069,1.6233005914984664,-1.8507702862918816,-0.602717087488446,1.329401857356558,2.472541561186525,-1.3249047574155748,0.30074556362483473,1.3184609466112376,1.0224845441889185,-2.717474067367965,2.2592946892638737,-1.8261322812771068,-1.0412025081063554,0.5276739188289904,-2.5430946440503908,-1.9393878133907663,0.8429033700171823,-1.0373303529450437,2.7739071508933946,-2.035466143172626,-1.7561995369336199,1.3895101508006658,2.3603984308695987,0.9961156894608489,0.4212439899898005,2.786569002405818,2.347816622854284,2.335987140233011,-2.2836910702369364,-2.7375435838393,2.2531340369475523,-0.8098676055493081,2.991706756610454,0.0623852651295295,2.1742062061938197,1.5851547157518782,0.5479271688518048,1.6204088154788696,1.9167598600119737,1.331580575435832,-2.401321662946952,2.4206784298005704,2.278493363101635,0.3853008888875324,-1.614556204827843,0.6705987472580561,2.1362367840782333,-1.816994605475844,-2.415791717648388,-1.8796741596053224,-0.6088850903053498,-0.8889563213129845,1.9707972263814635,-2.9982407806599074,0.6066745369831558,2.2231173060006997,0.48384571706250556,0.6265166576672251,-0.8420386248746832,-2.3847256806634776,0.880690745624747,1.81709542614207,-1.1503962895780635,1.4038125732308961,1.1205976089964569,0.5417669100959308,-1.5162516783023028,0.36372535633020564,-1.3695717588721337,-1.0725380802383384,2.0152408762461658,-1.9050625503405492,0.4425416766420226,-2.4138592358471223,2.382483452777304,1.6517603214803014,-1.27582366648676,0.9381541034913241,1.0321455443985497,1.5646603986801493,0.7289898928673098,-2.414199234585306,-1.468381088951956,-2.1706651158214214,-1.9245571073411352,1.9259428798433171,2.5988470844519656,2.4983781046331504,-2.225226265538117,1.2532943766958442,1.6677231658686982,-0.6469949781808682,1.069667907224077,1.050157973733117,0.6535740682603802,0.7622399645756445,-3.0027748046609855
-0.850789125819289,-0.20262722006135903,-0.25389393276252736,-2.1327271948539375,3.0110593530309235,-2.4365219683726878,1.3636899908905182,1.0456920386054842,0.7201450200634735,-2.6336925324772498,0.7415355589192083,0.4478965631037798,1.453469665653273,1.6300399732709254,0.6905685845275532,0.6966017069959782,-0.6699695886124148,-1.6730357999075753,-2.0542339331928794,1.313091366651823,-1.0568226927470317,-2.332521470586963,1.936444047817629,1.6233005905342737,-1.8507702851546357,-0.6027170888300093,1.3294018571365236,2.472541561227183,-1.324904757409402,0.3007455636207094,1.3184609466113484,1.0224845441889194,-2.717474067367947,2.2592946892638825,-1.826132281277113,-1.0412025081063554,0.5276739188289896,-2.5430946440503948,-1.9393878133907645,0.8429033700171905,-1.0373303529450482,2.773907150893394,-2.03546614317262,-1.7561995369336278,1.3895101508006618,2.360398430869601,0.9961156894608432,0.42124398998981216,2.7865690024058285,2.34781662285428,2.3359871402330072,-2.283691070236933,-2.7375435838393014,2.25313403694756,-0.8098676055492984,2.9917067566104625,0.06238526512953388,2.1742062061938245,1.5851547157518748,0.547927168851809,1.6204088154788645,1.9167598600119837,1.3315805754358236,-2.4013216629469554,2.420678429800574,2.278493363101633,0.38530088888753633,-1.6145562048278297,0.6705987472580542,2.1362367840782337,-1.816994605475852,-2.415791717648381,-1.879674159605325,-0.6088850903053418,-0.8889563213129872,1.970797226381464,-2.9982407806599056,0.6066745369831581,2.2231173060006997,0.48384571706250734,0.6265166576672234,-0.8420386248746832,-2.384725680663478,0.8806907456247469,1.817095426142071,-1.1503962895780635,1.4038125732308955,1.120597608996458,0.5417669100959295,-1.5162516783023028,0.36372535633020797,-1.3695717588721399,-1.072538080238341,2.015240876246166,-1.9050625503405492,0.44254167664202404,-2.4138592358471236,2.382483452777304,1.6517603214803043,-1.27582366648676,0.9381541034913233,1.0321455443985506,1.56466039868015,0.7289898928673106,-2.414199234585306,-1.468381088951956,-2.1706651158214214,-1.9245571073411352,1.9259428798433171,2.5988470844519656,2.49837810463315,-2.225226265538117,1.2532943766958442,1.6677231658686982,-0.6469949781808682,1.069667907224077,1.050157973733117,0.6535740682603802,0.7622399645756445,-3.0027748046609855
0.08719377059789846,-0.7167126823821981,-0.49253421192641955,-1.396968844936949,3.027888083080303,-2.4279213055396798,1.35786815461873,1.046386132106831,0.7208386140594957,-2.6344521496950835,0.7409654763455751,0.4484076816851861,1.4529884472431143,1.6299626100476792,0.6906673889920223,0.6965987076700269,-0.6699465750299769,-1.6730337244983726,-2.0542334563935034,1.313091420775589,-1.056822976833434,-2.3325213321308937,1.9364440685266762,1.623300589158122,-1.8507702835314817,-0.6027170907447754,1.3294018568224735,2.4725415612852086,-1.3249047574006028,0.3007455636148206,1.318460946611503,1.0224845441889316,-2.7174740673679123,2.25929468926389,-1.826132281277114,-1.041202508106358,0.5276739188289917,-2.543094644050399,-1.9393878133907485,0.8429033700172001,-1.0373303529450544,2.773907150893388,-2.035466143172613,-1.7561995369336287,1.3895101508006689,2.3603984308696027,0.9961156894608263,0.42124398998983403,2.786569002405844,2.3478166228542805,2.3359871402330015,-2.2836910702369293,-2.737543583839307,2.2531340369475674,-0.8098676055492833,2.991706756610471,0.062385265129538674,2.174206206193826,1.5851547157518753,0.5479271688518099,1.620408815478866,1.9167598600119837,1.3315805754358205,-2.4013216629469563,2.4206784298005806,2.278493363101633,0.3853008888875412,-1.6145562048278173,0.6705987472580568,2.1362367840782315,-1.8169946054758643,-2.4157917176483674,-1.879674159605325,-0.6088850903053418,-0.8889563213129872,1.9707972263814646,-2.9982407806599,0.6066745369831636,2.2231173060006997,0.48384571706250334,0.626516657667225,-0.8420386248746832,-2.3847256806634776,0.8806907456247485,1.8170954261420702,-1.1503962895780635,1.403812573230894,1.12059760899646,0.5417669100959268,-1.5162516783023028,0.36372535633021036,-1.3695717588721399,-1.072538080238341,2.0152408762461667,-1.9050625503405492,0.44254167664202754,-2.4138592358471196,2.382483452777304,1.6517603214803043,-1.27582366648676,0.9381541034913236,1.032145544398551,1.56466039868015,0.7289898928673102,-2.4141992345853063,-1.468381088951956,-2.1706651158214214,-1.9245571073411352,1.9259428798433171,2.5988470844519656,2.49837810463315,-2.225226265538117,1.2532943766958433,1.6677231658686982,-0.6469949781808682,1.069667907224077,1.050157973733117,0.6535740682603802,0.7622399645756445,-3.0027748046609855
0.29937062126805536,-0.44204470035297927,-1.272726196647068,0.05269198023924915,-2.19086789116819,-2.3394514147619216,1.337993760375187,1.049273940571544,0.722585664107563,-2.636098989582368,0.7395960689023203,0.4496750862454987,1.4518304619057285,1.6297855174137097,0.6908993803813843,0.6965914735893297,-0.6698927991497134,-1.673028877303846,-2.054232341653928,1.3130915473362479,-1.0568236410660088,-2.332521008403387,1.9364441169461017,1.6233005859405778,-1.8507702797364338,-0.6027170952216219,1.3294018560882177,2.4725415614208788,-1.3249047573800166,0.3007455636010354,1.318460946611871,1.0224845441889523,-2.717474067367846,2.2592946892639105,-1.8261322812771095,-1.0412025081063723,0.527673918829003,-2.543094644050394,-1.9393878133907183,0.8429033700172378,-1.0373303529450402,2.773907150893394,-2.035466143172604,-1.756199536933627,1.3895101508006777,2.360398430869609,0.996115689460805,0.4212439899898569,2.7865690024058485,2.3478166228542907,2.335987140232994,-2.2836910702369178,-2.737543583839317,2.253134036947577,-0.8098676055492673,2.9917067566104953,0.062385265129549144,2.17420620619382,1.5851547157518886,0.5479271688517978,1.620408815478874,1.9167598600119748,1.3315805754358119,-2.401321662946962,2.420678429800582,2.2784933631016435,0.3853008888875367,-1.6145562048277977,0.6705987472580774,2.136236784078232,-1.8169946054758581,-2.415791717648354,-1.879674159605325,-0.6088850903053418,-0.8889563213129872,1.9707972263814655,-2.9982407806599003,0.6066745369831565,2.2231173060006997,0.4838457170625106,0.6265166576672246,-0.8420386248746832,-2.3847256806634665,0.8806907456247586,1.817095426142065,-1.1503962895780635,1.4038125732308833,1.1205976089964724,0.5417669100959196,-1.5162516783023028,0.3637253563302131,-1.3695717588721399,-1.072538080238341,2.0152408762461618,-1.9050625503405492,0.44254167664203886,-2.4138592358471085,2.382483452777304,1.6517603214803023,-1.27582366648676,0.9381541034913261,1.0321455443985497,1.5646603986801486,0.7289898928673131,-2.414199234585303,-1.468381088951956,-2.1706651158214214,-1.9245571073411352,1.925942879843317,2.5988470844519656,2.49837810463315,-2.225226265538117,1.2532943766958395,1.6677231658686982,-0.6469949781808682,1.069667907224077,1.050157973733117,0.6535740682603796,0.7622399645756456,-3.0027748046609855
