theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63,theta_64,theta_65,theta_66,theta_67,theta_68,theta_69,theta_70,theta_71,theta_72,theta_73,theta_74,theta_75,theta_76,theta_77,theta_78,theta_79,theta_80,theta_81,theta_82,theta_83,theta_84,theta_85,theta_86,theta_87,theta_88,theta_89,theta_90,theta_91,theta_92,theta_93,theta_94,theta_95,theta_96,theta_97,theta_98,theta_99,theta_100,theta_101,theta_102,theta_103,theta_104,theta_105,theta_106,theta_107,theta_108,theta_109,theta_110,theta_111,theta_112,theta_113,theta_114,theta_115,theta_116,theta_117,theta_118,theta_119,theta_120
0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988
0.51057285,0.5155663,0.52069765,0.5230141,0.5235274,0.52359295,0.5235982,0.5235988,0.52359897,0.5235988,0.5235988,0.5235988,0.52359897,0.5235988,0.52359873,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.5235989,0.5235988,0.5235988,0.52359873,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235989,0.5235987,0.52359897,0.5235987,0.52359885,0.523598,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988
0.495494,0.50012773,0.504762,0.5091113,0.51489294,0.51998925,0.52256405,0.52338564,0.523566,0.52359486,0.5235985,0.52359855,0.52359897,0.5235987,0.5235989,0.5235988,0.5235988,0.5235988,0.52359897,0.52359873,0.5235989,0.5235987,0.52359873,0.52359885,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.52359885,0.5235987,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988
0.48056296,0.48498324,0.48945624,0.49389863,0.49898016,0.50322366,0.50803214,0.51417416,0.5193415,0.5221552,0.5232221,0.5235211,0.523586,0.5235968,0.5235986,0.5235988,0.5235988,0.5235988,0.5235989,0.5235988,0.52359873,0.52359885,0.52359873,0.52359873,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.5235989,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.52359897,0.5235987,0.52359873,0.52359855,0.5235987,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988
0.46581385,0.47005144,0.47437647,0.4787061,0.48343214,0.48766944,0.4926855,0.4976567,0.50182277,0.5071141,0.5135058,0.51877534,0.5217886,0.52305484,0.5234655,0.52357155,0.5235941,0.523598,0.52359873,0.5235988,0.52359897,0.5235987,0.5235986,0.5235989,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235986,0.52359885,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235989,0.5235988,0.5235986,0.52359897,0.52359873,0.52359897,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988
0.45124847,0.4553163,0.45949382,0.46367177,0.4681614,0.4723411,0.47716102,0.48165157,0.48613617,0.49155104,0.49628016,0.5005911,0.50632995,0.5129353,0.5183056,0.52147394,0.5228987,0.5234062,0.5235536,0.52359,0.5235972,0.5235986,0.5235988,0.5235988,0.52359855,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.52359885,0.52359873,0.5235986,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.52359873,0.523599,0.52359885,0.5235986,0.52359915,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.5235989,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988
0.4368636,0.4407695,0.44479975,0.44881848,0.4531156,0.45718887,0.4617819,0.46604788,0.47059575,0.47556058,0.47986218,0.4848591,0.49040166,0.4949414,0.49952894,0.50569355,0.51249325,0.51794434,0.5212213,0.52276284,0.52334934,0.52353495,0.5235845,0.52359617,0.5235984,0.5235989,0.52359873,0.5235988,0.5235988,0.5235987,0.5235986,0.52359897,0.52359855,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.52359873,0.52359873,0.5235985,0.523599,0.52359855,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235989,0.52359855,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988
0.4226559,0.42640576,0.43028966,0.43414953,0.43827322,0.4422169,0.44659862,0.45070496,0.4551601,0.4597615,0.46400654,0.46905193,0.47382045,0.47824624,0.48375022,0.48923904,0.49369013,0.4986442,0.50522715,0.5122023,0.51770383,0.52104115,0.5226572,0.52330136,0.5235174,0.5235791,0.5235946,0.5235979,0.5235987,0.5235989,0.5235986,0.5235991,0.52359855,0.5235989,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235989,0.52359873,0.52359873,0.52359855,0.5235988,0.5235985,0.5235991,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235986,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.5235991,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988
0.40862188,0.41222048,0.415959,0.41966337,0.42362228,0.42742738,0.43161336,0.43557638,0.43987915,0.44421676,0.44841132,0.453242,0.45759124,0.46223626,0.4675048,0.4720452,0.47686464,0.48274624,0.48808506,0.49256116,0.4979594,0.50495625,0.5120802,0.51759195,0.5209383,0.5225878,0.52326596,0.52350265,0.52357405,0.5235935,0.52359754,0.5235986,0.52359843,0.5235991,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235986,0.5235987,0.52359873,0.52359885,0.5235989,0.5235987,0.5235988,0.52359885,0.52359843,0.5235989,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235991,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.52359855,0.52359897,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988
0.39475715,0.39820924,0.4018034,0.4053577,0.40915602,0.41282105,0.41682136,0.42064533,0.4247748,0.42890614,0.43300545,0.4375815,0.4417154,0.44639388,0.45118073,0.4555067,0.46068478,0.46586916,0.47036374,0.47571942,0.48180935,0.48696446,0.49159127,0.49750453,0.5049064,0.5121418,0.517613,0.5209164,0.52255774,0.5232459,0.523493,0.5235708,0.52359205,0.5235974,0.5235984,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.52359843,0.52359843,0.5235985,0.5235987,0.52359873,0.5235986,0.52359897,0.5235987,0.52359897,0.52359855,0.52359897,0.52359873,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.52359843,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235987,0.5235987,0.52359885,0.5235984,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988,0.5235988
