theta_dot_1,theta_dot_2,theta_dot_3,theta_dot_4,theta_dot_5,theta_dot_6,theta_dot_7,theta_dot_8,theta_dot_9,theta_dot_10,theta_dot_11,theta_dot_12,theta_dot_13,theta_dot_14,theta_dot_15,theta_dot_16,theta_dot_17,theta_dot_18,theta_dot_19,theta_dot_20,theta_dot_21,theta_dot_22,theta_dot_23,theta_dot_24,theta_dot_25,theta_dot_26,theta_dot_27,theta_dot_28,theta_dot_29,theta_dot_30,theta_dot_31,theta_dot_32,theta_dot_33,theta_dot_34,theta_dot_35,theta_dot_36,theta_dot_37,theta_dot_38,theta_dot_39,theta_dot_40,theta_dot_41,theta_dot_42,theta_dot_43,theta_dot_44,theta_dot_45,theta_dot_46,theta_dot_47,theta_dot_48,theta_dot_49,theta_dot_50,theta_dot_51,theta_dot_52,theta_dot_53,theta_dot_54,theta_dot_55,theta_dot_56,theta_dot_57,theta_dot_58,theta_dot_59,theta_dot_60,theta_dot_61,theta_dot_62,theta_dot_63,theta_dot_64,theta_dot_65,theta_dot_66,theta_dot_67,theta_dot_68,theta_dot_69,theta_dot_70,theta_dot_71,theta_dot_72,theta_dot_73,theta_dot_74,theta_dot_75,theta_dot_76,theta_dot_77,theta_dot_78,theta_dot_79,theta_dot_80,theta_dot_81,theta_dot_82,theta_dot_83,theta_dot_84,theta_dot_85,theta_dot_86,theta_dot_87,theta_dot_88,theta_dot_89,theta_dot_90,theta_dot_91,theta_dot_92,theta_dot_93,theta_dot_94,theta_dot_95,theta_dot_96,theta_dot_97,theta_dot_98,theta_dot_99,theta_dot_100,theta_dot_101,theta_dot_102,theta_dot_103,theta_dot_104,theta_dot_105,theta_dot_106,theta_dot_107,theta_dot_108,theta_dot_109,theta_dot_110,theta_dot_111,theta_dot_112,theta_dot_113,theta_dot_114,theta_dot_115,theta_dot_116,theta_dot_117,theta_dot_118,theta_dot_119,theta_dot_120
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.14704111,-0.17817718,-0.12198499,-0.03742946,-0.006187448,-0.00063589716,-4.4335135e-05,-1.5594691e-06,9.787583e-07,1.4665118e-06,-3.7301231e-06,1.4683868e-06,5.658088e-07,2.399892e-06,-4.412551e-06,1.5299515e-06,4.2210803e-07,-2.3427685e-06,3.8379594e-06,-2.2671898e-06,1.9455483e-06,-3.4010907e-06,4.9585433e-06,-5.1472043e-06,2.3252699e-06,-7.488951e-07,6.3081205e-07,8.626789e-07,-6.042037e-07,9.016821e-08,-1.3905654e-06,2.2212876e-06,-2.8666143e-06,1.6859083e-06,-1.1324051e-06,1.3762536e-06,3.6530324e-07,-4.0954424e-07,7.739129e-07,-1.9168203e-06,1.4006978e-06,-3.746999e-07,3.6793733e-07,-9.915336e-07,1.4165151e-06,-7.0851814e-07,-2.9470755e-07,6.4130376e-07,-6.181342e-07,-1.4152871e-06,2.4516237e-06,-2.7737775e-07,-1.1438266e-06,-5.5711774e-07,3.9006936e-06,-4.8798765e-06,1.3725933e-06,9.666732e-07,6.694579e-08,-6.315602e-07,1.0570263e-06,-1.2659051e-06,7.633319e-07,-1.77617e-07,4.959811e-08,-1.3106748e-07,5.039628e-07,-2.9704495e-07,6.271568e-08,7.0890515e-08,-1.3644735e-07,-1.11960716e-07,-3.0008636e-07,5.8295774e-07,-6.378828e-07,6.4441053e-07,3.3018154e-08,-7.144997e-07,3.2416156e-07,2.8953343e-07,-1.6856008e-06,1.2239667e-06,7.629908e-07,-4.240886e-07,-1.1565628e-07,-1.6953168e-08,9.185719e-08,5.186598e-07,-2.6107439e-06,2.3690618e-06,-2.9293878e-07,-1.925421e-07,1.3360065e-07,3.092928e-07,-2.8591555e-07,1.6414562e-07,-1.8571387e-07,-1.1477249e-08,-9.106679e-09,1.1311602e-07,-1.5459405e-07,4.2902937e-07,-4.6720774e-07,-2.841373e-07,-5.1939486e-07,9.0471866e-07,1.1512168e-07,4.4282306e-08,-1.6608794e-07,4.171249e-08,1.16478546e-07,-3.9476214e-07,-2.0910396e-07,5.896224e-07,-1.2309064e-07,-6.004647e-08,-1.1167396e-07,1.4169706e-07,-7.084862e-08,-2.9155684e-16
-0.1478458,-0.15997906,-0.13881807,-0.16376416,-0.18659185,-0.12250483,-0.04830356,-0.012607846,-0.0023345607,-0.00032977283,-3.4110242e-05,-5.5502555e-06,-1.2151537e-06,2.7577757e-06,-2.7237443e-06,3.0813412e-06,-4.9311024e-07,-9.365031e-08,9.887415e-08,-1.3720414e-06,4.1604076e-06,-4.0521318e-06,7.4629145e-07,-1.6416565e-06,2.3947935e-06,-1.1881048e-06,2.1019457e-06,-3.5319084e-07,-8.280655e-07,6.226197e-07,-1.3627955e-06,9.748644e-07,-2.910449e-06,2.1418168e-06,-7.872216e-07,2.2964343e-06,-5.8159255e-08,-1.5057574e-06,3.1122388e-06,-3.531917e-06,1.6686648e-06,9.6885714e-08,-9.801181e-07,-1.9719965e-07,1.4069442e-06,-5.984851e-07,7.9490325e-09,-2.4433932e-08,-3.2284422e-07,3.1324916e-07,1.1183361e-06,-8.552904e-06,6.660433e-06,3.8373437e-06,-3.8632884e-06,1.140643e-06,-8.488817e-07,3.4419278e-07,-7.245601e-08,4.1050316e-07,-7.724428e-08,-1.1319034e-06,1.9424033e-06,-1.0881886e-06,4.5054557e-07,-4.1408458e-07,3.307774e-07,-3.6477573e-07,4.1122848e-07,7.9934026e-08,-2.9869167e-07,-1.8219842e-07,1.6394699e-07,3.2867908e-07,-6.6936013e-07,4.911276e-07,1.3940382e-07,-7.106795e-07,7.791264e-08,8.4298006e-07,-3.1493034e-06,1.7562937e-06,1.4556422e-06,-1.2819547e-07,-5.3647017e-07,-1.9405127e-07,-3.530348e-07,1.8479533e-06,-4.5469956e-06,3.7269976e-06,-8.840318e-07,7.8997016e-07,-2.6946302e-07,-3.6801442e-08,1.8737632e-07,-2.021863e-07,1.5880762e-07,-2.0202668e-07,-3.587633e-08,2.6025256e-07,-2.9821467e-07,6.1628896e-07,-7.6724143e-07,-8.759983e-07,-3.8747936e-07,1.4197115e-06,1.353083e-07,1.5747754e-07,-1.2003413e-07,-9.944613e-09,1.4005623e-07,-9.159372e-07,-5.12168e-08,8.516138e-07,-1.9543235e-08,-3.2288509e-07,-8.37457e-08,2.4555533e-07,-1.2141375e-07,-2.7278373e-09
-0.14677575,-0.15447907,-0.14345743,-0.16178994,-0.15504181,-0.1371812,-0.18071717,-0.18928221,-0.12610981,-0.05648708,-0.01819764,-0.0044409116,-0.0008536487,-0.00013342213,-1.3004867e-05,-1.9463416e-06,3.9453712e-07,-1.5148315e-06,4.850936e-06,-7.305007e-06,1.9288198e-06,2.0606831e-07,4.7660096e-06,-3.7274183e-06,9.897668e-07,-1.3093223e-06,2.2009197e-06,2.4980133e-07,-1.7964679e-06,1.0649416e-06,-2.6920795e-06,2.1510962e-07,-7.591015e-08,8.929712e-07,1.1663824e-06,3.5633462e-07,1.1522979e-07,-6.8796265e-07,1.7233058e-06,-1.1263782e-06,3.1437528e-07,-6.0737403e-07,7.1400456e-07,-1.4774082e-06,9.2564744e-07,2.7833855e-07,1.4687176e-07,-7.0272995e-07,2.6730402e-07,-2.5742688e-06,1.2575332e-06,-7.773552e-07,2.7200758e-06,-5.830717e-06,6.1676687e-06,1.3213195e-06,-2.1259552e-06,-9.0749256e-07,1.3213644e-06,-3.2317084e-07,2.5433403e-07,-8.2220816e-07,2.955375e-07,1.4150972e-07,-2.1558947e-08,4.1558355e-08,8.817215e-07,-1.497783e-06,7.7844703e-07,1.8257404e-07,-4.7196258e-07,1.7822583e-08,2.5223557e-07,4.873541e-07,-9.935134e-07,-9.589136e-09,4.7419758e-07,-3.131505e-07,-1.8582449e-07,5.578562e-07,-3.8412686e-06,2.8265392e-06,1.0082935e-06,6.234369e-07,-1.1434898e-06,5.368822e-08,1.3402221e-08,5.1725624e-07,-4.45071e-06,4.4189865e-06,-1.6147513e-07,-2.961804e-07,3.6058623e-07,-1.3988226e-07,2.193436e-07,-2.8042146e-07,4.504853e-07,-6.900829e-07,2.9536443e-07,8.7581775e-08,-1.72284e-07,6.656667e-07,-9.782649e-07,-1.5493752e-06,-3.2963172e-07,2.143436e-06,1.6835324e-07,1.5353815e-07,-1.2709384e-07,9.044998e-09,1.650012e-07,-1.4107274e-06,2.4996025e-08,1.2164214e-06,-8.141735e-09,-5.221705e-07,-6.997181e-08,3.238447e-07,-1.6055844e-07,-2.7278375e-09
-0.14528471,-0.15110242,-0.1442647,-0.15737201,-0.14938568,-0.14946242,-0.1725064,-0.14431545,-0.1455353,-0.19253027,-0.1916053,-0.12964767,-0.06275039,-0.02292782,-0.006576562,-0.0015284423,-0.00029665924,-5.1758918e-05,5.1053553e-06,-7.043479e-06,3.643073e-06,6.651572e-07,-4.1469116e-06,-4.805738e-08,1.8337313e-06,-3.8772697e-07,1.586237e-06,-1.01896855e-08,-1.0384878e-06,2.378862e-08,-9.339873e-07,-5.067029e-06,5.598664e-06,-6.8315984e-07,5.774661e-07,1.4950585e-06,-2.6853118e-07,-5.3219503e-07,3.3378737e-07,6.1048024e-07,-1.9871808e-07,-3.1522512e-07,-3.240057e-07,-3.420367e-07,1.2278653e-06,-7.0586543e-07,-4.4107307e-07,5.816875e-07,-8.8842063e-07,4.433982e-07,-5.514043e-06,7.055425e-06,-4.2163947e-06,1.1109569e-06,4.472207e-06,-5.407528e-06,2.765398e-06,1.826154e-08,3.4336583e-07,-2.8257182e-07,7.507937e-08,-2.2466858e-07,4.20299e-09,1.6082349e-07,6.1910804e-08,1.5106683e-07,-2.9097168e-07,4.181939e-07,-3.4114555e-07,4.353646e-07,-3.642979e-07,-2.7693406e-07,7.2289197e-07,-1.274693e-07,-7.6671864e-07,-2.3020819e-08,4.915068e-07,-3.4226622e-07,1.202923e-07,1.5573679e-07,-4.796185e-06,3.7392704e-06,1.3232067e-06,4.2206645e-07,-9.0485634e-07,-2.2347677e-07,1.9487132e-07,3.3781543e-08,-4.580866e-06,4.6019927e-06,2.1001324e-07,-2.7698107e-07,2.5414894e-07,2.1750273e-08,2.0999235e-07,-4.7676343e-07,7.0574197e-07,-8.774152e-07,3.3641683e-07,9.199065e-08,-8.184714e-08,6.33354e-07,-1.0874456e-06,-2.2049155e-06,-2.3497357e-07,2.8097047e-06,1.7671245e-07,6.049926e-08,-3.445545e-08,-4.183342e-08,1.6919071e-07,-1.7227986e-06,3.541445e-08,1.485903e-06,3.1867568e-08,-6.9291525e-07,-4.738849e-08,3.7601924e-07,-1.8213211e-07,-6.998755e-09
-0.1436834,-0.14841765,-0.14384629,-0.15370676,-0.14755435,-0.15167826,-0.16242053,-0.14246999,-0.16592199,-0.17133074,-0.13878529,-0.15663311,-0.20184553,-0.1937107,-0.1323145,-0.067352235,-0.02670465,-0.008531045,-0.002252162,-0.0005069753,-8.732158e-05,-2.0128738e-05,-1.5365422e-06,3.392865e-06,-1.1018756e-06,-8.883662e-07,8.075083e-07,-1.057708e-06,7.900201e-07,-4.3990717e-06,6.9001153e-06,-9.719783e-06,5.7335733e-06,1.4947586e-06,-3.0510986e-07,1.5737482e-08,6.6623176e-07,-2.1256022e-07,1.3742064e-07,-1.8062177e-07,6.752252e-07,-5.2577866e-07,-5.8536727e-08,-2.3988503e-07,1.1526778e-06,-1.2721341e-06,4.153353e-07,-2.7917193e-07,-6.239015e-07,-1.9044428e-06,2.6982768e-06,1.0586155e-06,-7.823161e-06,1.0149869e-05,-9.585116e-06,5.4566844e-06,5.75392e-07,4.3490766e-07,5.847604e-08,-4.1290582e-07,5.8701335e-08,4.995684e-08,1.460019e-07,-4.6907637e-08,-1.0827212e-08,-1.2877048e-07,4.375863e-07,-2.053373e-07,2.5554382e-07,1.2548384e-07,-5.399234e-07,2.8354846e-08,4.354165e-07,-4.8424744e-07,-1.6630528e-08,-7.0289374e-08,1.2214377e-07,-2.9358398e-07,2.3721952e-08,-2.3251841e-06,-1.0162219e-06,3.2058347e-06,5.6865093e-07,2.8196646e-07,-5.7146457e-07,-6.400394e-09,-1.2989639e-07,-1.9343477e-06,9.569574e-07,-1.4012339e-06,2.3943473e-06,1.0154924e-07,-1.1962803e-08,4.6190038e-07,-7.088734e-08,-3.121073e-07,3.048621e-07,-3.326334e-07,8.2544555e-10,2.5854808e-07,-4.703833e-08,3.2574556e-07,-8.804888e-07,-2.8659006e-06,-8.571421e-10,2.9646046e-06,4.1770875e-07,7.587419e-08,-1.4851635e-08,-4.8579174e-08,2.6638537e-08,-1.8093685e-06,-4.588126e-08,1.7231378e-06,7.228884e-08,-8.048878e-07,-8.806066e-08,4.6628287e-07,-2.2778872e-07,-5.949312e-09
-0.14206398,-0.14603063,-0.1429655,-0.15058069,-0.14636736,-0.15075493,-0.15664853,-0.1446226,-0.166574,-0.15426083,-0.14799649,-0.17910151,-0.16516039,-0.13833502,-0.1686561,-0.2099042,-0.19529362,-0.13380504,-0.07036081,-0.029495304,-0.010146493,-0.0029342133,-0.00071648957,-0.00015118453,-3.7622103e-05,1.847386e-06,-2.1746223e-06,-4.7856366e-07,-2.521033e-06,-6.175696e-06,1.298264e-05,-8.864784e-06,6.4620212e-06,-5.8578183e-07,-2.349627e-06,3.003339e-06,-3.0838432e-06,3.1714785e-06,-7.084991e-07,1.18083754e-07,-7.393463e-07,1.0574366e-06,-1.2274146e-06,4.7896225e-07,-8.1439076e-08,4.7347163e-07,-1.7072422e-06,1.9693214e-06,-1.8076565e-06,-4.775668e-06,5.875738e-06,-5.401215e-07,-2.975149e-07,2.7466924e-06,-1.08703525e-05,7.886523e-06,1.2376158e-06,-4.824181e-08,-2.0511591e-07,2.9205648e-07,-2.6129595e-07,-3.6052091e-07,1.7650794e-07,6.686461e-07,-6.8195055e-07,2.744213e-07,1.05523554e-07,1.8195708e-07,-1.5146956e-07,7.134169e-07,-7.5523417e-07,-4.291176e-07,9.139086e-07,-1.0152997e-06,6.964768e-07,-2.499673e-07,3.295682e-09,-6.6217956e-07,2.082802e-07,-5.3459767e-06,3.7342834e-06,1.952784e-06,5.333368e-07,-2.650895e-07,-6.7573535e-07,2.5081158e-07,2.9203244e-07,-3.4409397e-06,1.6238625e-06,-1.055128e-06,2.850465e-06,-1.2301193e-07,3.1508762e-08,2.7616628e-07,-2.8384417e-07,-1.2858807e-08,2.2968453e-07,-3.9921456e-08,-2.7783477e-07,4.6026588e-07,-3.262545e-07,3.7535557e-07,-8.838433e-07,-3.4337193e-06,-2.368383e-07,4.021937e-06,1.4122523e-07,8.840205e-08,1.7999096e-07,-9.7297274e-08,-1.1535883e-07,-2.0820928e-06,3.964624e-08,1.8190647e-06,2.9291292e-07,-1.0314634e-06,-1.15091744e-07,5.865956e-07,-2.8040554e-07,-1.0975619e-08
-0.14045501,-0.14378703,-0.1419025,-0.1477651,-0.1452907,-0.14883801,-0.15316905,-0.1454301,-0.16297203,-0.14801884,-0.15661934,-0.17092858,-0.14691699,-0.16148329,-0.1857741,-0.15809907,-0.14194228,-0.18128297,-0.2170656,-0.19607039,-0.13392174,-0.07181081,-0.03126241,-0.011324341,-0.0034955554,-0.00091897044,-0.00022798356,-4.6214347e-05,6.608361e-06,-1.0347557e-05,2.1890423e-06,2.3737975e-06,2.8914794e-06,-5.1666293e-06,-3.2768685e-07,3.7950986e-06,-1.2165557e-06,7.7254737e-07,5.5976795e-07,6.98902e-07,-3.1956265e-06,3.5925689e-06,-7.514912e-07,-2.2188653e-06,1.6590672e-06,-7.492814e-07,4.7490397e-07,6.59486e-07,-1.6713398e-06,-1.0001331e-06,-5.251068e-06,3.4248374e-06,4.5754437e-06,-6.5935e-06,1.1583272e-05,-6.886552e-06,-4.5774536e-06,5.6732833e-06,-7.292883e-09,2.2321586e-07,-7.5640514e-07,1.9974642e-08,4.5111597e-07,4.2977183e-07,-6.7308014e-07,4.0831287e-07,-2.1818703e-07,3.9530906e-07,2.657354e-07,-2.461909e-07,1.8219765e-07,-1.5045513e-06,2.6460168e-06,-2.6429022e-06,1.9119173e-06,-1.613116e-06,1.5951379e-06,-2.7821652e-06,-1.4436965e-06,-9.1055955e-07,3.0978797e-06,7.7070126e-07,7.0438404e-07,-4.3401894e-07,2.1964903e-08,-1.3479708e-07,3.8401072e-07,-2.670806e-06,-2.2530814e-06,2.4735555e-06,2.0234443e-06,3.2734792e-07,-1.5618183e-07,6.119978e-08,-4.0701504e-09,-3.4540925e-08,2.9812713e-07,-1.575593e-07,-1.0364061e-07,3.715362e-07,-4.6968003e-07,2.1210569e-07,-3.6942825e-07,-4.4232793e-06,-4.150923e-08,4.4908743e-06,1.3553792e-07,3.1889105e-08,3.219676e-07,-1.2156675e-08,-1.826273e-07,-2.518075e-06,3.560283e-08,2.2063086e-06,3.145225e-07,-1.1989118e-06,-1.2862327e-07,6.675366e-07,-3.1323034e-07,-2.0370987e-08
-0.13887627,-0.14162068,-0.14079045,-0.14512753,-0.14423443,-0.14656705,-0.15076661,-0.14499083,-0.1592478,-0.14574079,-0.15918359,-0.16111352,-0.14707825,-0.17182265,-0.16532335,-0.1473094,-0.17686225,-0.18658829,-0.15212329,-0.14903131,-0.19438146,-0.22334033,-0.19574496,-0.13250676,-0.07175226,-0.03199452,-0.012019974,-0.0038883195,-0.0010784799,-0.0002760981,-6.215936e-05,-2.8142201e-06,-6.505231e-06,-9.2688975e-07,4.2782713e-07,3.4941083e-06,-1.5414107e-06,1.8414765e-08,1.3803872e-06,8.86221e-07,-2.5744766e-06,2.9836817e-06,-6.7825346e-07,-1.9257295e-06,1.9353638e-06,-2.0766715e-06,1.5927577e-06,5.2455654e-08,-1.5737833e-06,-8.362746e-06,5.633865e-06,-1.4508029e-06,7.990191e-06,-8.0627715e-06,1.1083221e-05,-1.237921e-05,1.1665714e-05,-7.707226e-06,6.4794506e-07,1.9312874e-06,-1.0829091e-07,-6.47578e-07,1.5224539e-07,9.002291e-07,-2.9030048e-07,-7.649856e-08,1.6928196e-07,2.1982055e-07,5.4717344e-07,-8.0920506e-07,4.6758856e-07,-2.166201e-06,3.9592524e-06,-3.119657e-06,1.6598538e-06,-1.8128358e-06,1.6781871e-06,-2.2424445e-06,-4.637931e-06,4.4624617e-06,-6.7980716e-07,2.0214595e-06,6.907219e-07,-2.0835904e-07,-2.0929959e-07,-1.2526328e-07,6.47545e-07,-6.233129e-06,6.6290513e-06,-5.1851894e-06,2.3070465e-06,2.0189311e-06,-8.1006334e-08,-4.1657195e-08,7.3821034e-09,1.7799107e-07,3.5724494e-07,-2.5419536e-07,-3.2543163e-08,-1.2630484e-07,1.6653998e-07,-1.7692749e-07,-1.1974656e-07,-5.232294e-06,-8.765372e-08,5.15338e-06,2.1048349e-07,-2.2146494e-08,4.2570818e-07,-1.7264479e-07,-5.452186e-08,-2.7433523e-06,-1.9951834e-07,2.63635e-06,3.8026542e-07,-1.4469961e-06,-1.6635623e-07,8.367868e-07,-3.8377698e-07,-3.08548e-08
-0.13734597,-0.13951388,-0.13965847,-0.14258584,-0.14319526,-0.14418608,-0.14889985,-0.14381608,-0.15607513,-0.14446855,-0.15857156,-0.15462083,-0.15019451,-0.16997199,-0.15247448,-0.15828404,-0.17982708,-0.15700758,-0.15588593,-0.19014904,-0.18293796,-0.14845301,-0.15933591,-0.2077562,-0.22853383,-0.19392566,-0.1294545,-0.07021206,-0.031751096,-0.012220922,-0.0040735174,-0.0011856465,-0.0003209152,-5.7275953e-05,-2.3300874e-05,3.493858e-06,-1.5022403e-06,-2.4660537e-06,3.6848746e-06,-1.0690754e-06,-1.2023865e-07,2.618396e-06,-1.008826e-06,-2.339504e-06,2.2176148e-06,-2.8425306e-06,-3.4955315e-07,-8.017757e-06,3.857544e-06,6.3374882e-06,3.4365796e-06,-3.7768007e-06,1.0332537e-07,-2.6457842e-06,9.3726624e-07,-3.8925873e-06,1.0468363e-05,-1.2808123e-05,1.3733139e-05,-6.222912e-06,8.2648654e-07,-1.5839612e-06,9.532589e-07,5.2375907e-07,-2.708934e-07,2.961151e-07,-4.4400107e-07,3.0581197e-07,1.443843e-06,-1.3106883e-06,3.9185772e-07,-2.6505254e-06,4.0207656e-06,-2.4413841e-06,8.9768696e-07,-5.611187e-07,-7.011272e-08,-6.684601e-07,-7.0553824e-07,-5.372258e-06,3.4818581e-06,3.2297125e-06,-6.7778636e-08,7.8194114e-07,-6.55282e-08,-9.3890617e-07,-6.8224494e-07,-5.8173573e-06,3.9833e-06,5.599051e-06,-6.118815e-06,3.4725065e-06,-4.26672e-08,3.0358935e-09,2.085585e-08,3.2772743e-07,-8.335609e-08,1.9284516e-07,-3.1289252e-07,-1.5135852e-07,5.8815124e-07,-6.738166e-07,-7.491359e-09,-5.8077358e-06,-2.414581e-07,6.1438877e-06,-4.479443e-08,1.3335233e-07,2.3485366e-07,-1.2670634e-07,1.03964545e-07,-3.2105165e-06,-1.3313942e-07,2.9414432e-06,2.3786275e-07,-1.4241315e-06,-2.47354e-07,9.507508e-07,-4.1354176e-07,-5.5148487e-08
